,ProductName,SalesPrice,ActualPrice,StarReview,Ratings,Features
0,"SAMSUNG Galaxy A14 5G (Black, 128 GB)","₹11,499","₹20,999",4.2,"49,567 Ratings & 2,279 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP + 2MP | 13MP Front Camera5000 mAh Lithium Ion BatteryExynos 1330 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
1,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,181","₹1,399",4,"1,24,920 Ratings & 7,538 Reviews",32 MB RAM | 32 MB ROM4.5 cm (1.77 inch) Display0MP | 0MP Front Camera1000 mAh BatterySC6531E Processor1 year service center
2,I Kall I2 Cloud phone support youtube and facebook,"₹1,699","₹2,199",,,32 MB RAM | 32 MB ROM6.1 cm (2.4 inch) Display0.3MP Rear Camera2000 mAh BatteryOne-year manufacturer warranty
3,"Motorola g45 5G (Brilliant Blue, 128 GB)","₹12,999","₹14,999",4.4,"56,193 Ratings & 2,540 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 6s Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
4,"Motorola G85 5G (Olive Green, 128 GB)","₹17,999","₹20,999",4.5,"95,052 Ratings & 4,655 Reviews",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera5000 mAh Battery6s Gen 3 Processor1 Year on Handset and 6 Months on Accessories
5,"vivo T3 Pro 5G (Emerald Green, 256 GB)","₹26,999","₹31,999",4.5,"24,998 Ratings & 1,646 Reviews",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP + 8MP | 16MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
6,"vivo T3 Pro 5G (Emerald Green, 128 GB)","₹24,999","₹29,999",4.5,"24,998 Ratings & 1,646 Reviews",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP + 8MP | 16MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
7,"vivo T3 Pro 5G (Sandstone Orange, 256 GB)","₹26,999","₹31,999",4.5,"24,998 Ratings & 1,646 Reviews",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP + 8MP | 16MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
8,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹14,999","₹19,999",4.4,"1,33,905 Ratings & 6,853 Reviews",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories
9,"REDMI 13C (Starshine Green, 128 GB)","₹7,199","₹11,999",4.3,"69,795 Ratings & 3,014 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
